"","Location","Distance_From_Singapore"
"1","Singapore","    0.00000"
"2","Johor, Malaysia","   16.09036"
"3","Putra Jaya, Malaysia","  293.41963"
"4","Kuala Lumpur, Malaysia","  308.75617"
"5","Selangor, Malaysia","  319.03443"
"6","Terengganu, Malaysia","  444.45947"
"7","Banten Province, Indonesia","  893.36921"
"8","West Java Province, Indonesia"," 1026.86144"
"9","Indonesia"," 1149.07440"
"10","Bangkok Metropolitan Area, Thailand"," 1424.08635"
"11","Thailand"," 1635.46602"
"12","NCR - National Capital Region, Philippines"," 2393.57930"
"13","Hong Kong"," 2580.92694"
"14","Chennai Area, India"," 2912.88116"
"15","Taiwan"," 3087.26797"
"16","Bengaluru Area, India"," 3168.89144"
"17","Taipei City, Taiwan"," 3240.79670"
"18","Hyderabad Area, India"," 3300.14889"
"19","Jing'an District, Shanghai, China"," 3792.12725"
"20","Shanghai City, China"," 3793.69310"
"21","Hongkou District, Shanghai, China"," 3798.50068"
"22","Perth Area, Australia"," 3906.22577"
"23","Noida Area, India"," 4115.57810"
"24","Gurgaon, Haryana, India"," 4136.49486"
"25","Chaoyang District, Beijing, China"," 4458.61893"
"26","Korea"," 4555.16766"
"27","Seongnam, Gyeonggi-do, Korea"," 4656.71712"
"28","Japan"," 5241.13289"
"29","Kawasaki, Kanagawa, Japan"," 5297.20671"
"30","Adelaide Area, Australia"," 5428.65974"
"31","Sultanate of Oman"," 5648.51437"
"32","United Arab Emirates"," 5914.09601"
"33","Melbourne Area, Australia"," 6053.95106"
"34","Brisbane Area, Australia"," 6178.50955"
"35","Canberra Area, Australia"," 6211.66104"
"36","Sydney Area, Australia"," 6292.33719"
"37","Kuwait"," 6710.90402"
"38","Saudi Arabia"," 6792.67446"
"39","Kenya"," 7338.31814"
"40","Jordan"," 7798.65124"
"41","Israel"," 7938.29756"
"42","Turkey"," 8074.94022"
"43","New Zealand"," 8529.42607"
"44","Johannesburg Area, South Africa"," 8665.64146"
"45","Romania"," 9040.32194"
"46","Greece"," 9225.80179"
"47","Finland"," 9250.14018"
"48","Warsaw, Masovian District, Poland"," 9399.29775"
"49","Hungary area"," 9476.73589"
"50","Gdansk, Pomeranian District, Poland"," 9572.61031"
"51","Angola"," 9604.50309"
"52","Sweden"," 9608.62667"
"53","Stockholm County, Sweden"," 9633.66445"
