"","COUNTRY","NUM_OCCURENCES","COMPLETENESS","MEAN_NUM_SOCMEDPROFS","LI_NUM","TW_NUM","FB_NUM","MEAN_LI_CONNECTIONS"
"1","France","36","0.3175084","1.250000","10.583333","0.6111111","0.08333333"," 99.75000"
"2","United Kingdom","20","0.3346465","1.300000","11.300000","0.2000000","0.65000000"," 88.50000"
"3","Germany","19","0.3185805","1.105263","11.105263","0.2105263","0.10526316","102.15789"
"4","Netherlands","17","0.3322341","1.176471","10.823529","0.8235294","0.17647059"," 92.94118"
"5","Unknown","14","0.2677128","1.357143","10.428571","1.2142857","0.50000000",NA
"6","Australia","13","0.3375291","1.307692","11.615385","0.5384615","0.00000000"," 83.15385"
"7","Singapore","13","0.3266511","1.307692","11.461538","0.9230769","0.30769231"," 79.15385"
"8","United Arab Emirates","12","0.3855640","1.416667","11.750000","0.7500000","0.75000000"," 85.16667"
"9","Hong Kong","10","0.2896465","1.000000","11.100000","0.0000000","0.00000000","100.80000"
"10","Switzerland","10","0.3456061","1.200000","11.600000","0.6000000","0.20000000","101.50000"
"11","Belgium"," 8","0.3113005","1.375000","10.125000","2.0000000","0.00000000"," 85.12500"
"12","Malaysia"," 8","0.3106061","1.125000","11.375000","0.0000000","0.12500000"," 58.25000"
"13","South Africa"," 7","0.2944444","1.000000","11.571429","0.0000000","0.00000000"," 88.57143"
"14","Canada"," 5","0.4181818","1.800000","10.800000","1.2000000","0.80000000","121.40000"
"15","China"," 5","0.3031313","1.400000","10.800000","0.6000000","0.00000000","101.80000"
"16","India"," 5","0.3516162","1.200000","11.400000","0.0000000","0.60000000"," 83.00000"
"17","Portugal"," 5","0.4280808","1.600000","10.600000","0.0000000","2.20000000","106.00000"
"18","Indonesia"," 4","0.2655303","1.000000","10.500000","0.0000000","0.00000000"," 44.75000"
"19","Japan"," 4","0.2784091","1.000000","11.750000","0.0000000","0.00000000"," 65.50000"
"20","Poland"," 4","0.3516414","1.250000","10.750000","0.0000000","0.50000000","100.00000"
"21","Spain"," 4","0.3200758","1.250000"," 9.750000","0.2500000","0.00000000"," 92.50000"
"22","Sweden"," 4","0.4046717","1.750000","10.000000","1.5000000","0.00000000","108.75000"
"23","Brazil"," 3","0.2651515","1.000000","10.666667","0.0000000","0.00000000"," 93.66667"
"24","Denmark"," 3","0.3181818","1.000000"," 9.666667","0.0000000","0.00000000","101.66667"
"25","Greater New York City Area"," 3","0.3030303","1.000000","12.000000","0.0000000","0.00000000"," 85.66667"
"26","Ireland"," 3","0.3863636","1.333333","12.000000","2.3333333","0.00000000","115.66667"
"27","Italy"," 3","0.3106061","1.000000","12.000000","0.0000000","0.00000000","128.66667"
"28","Luxembourg"," 3","0.2986532","1.000000","12.666667","0.0000000","0.00000000","130.00000"
"29","Norway"," 3","0.4222222","1.666667","12.333333","0.0000000","2.66666667"," 73.33333"
"30","Other"," 3","0.3082492","1.000000","11.333333","0.0000000","0.00000000","125.00000"
"31","San Francisco Bay Area"," 3","0.4924242","2.000000","10.333333","1.3333333","1.00000000"," 91.00000"
"32","Saudi Arabia"," 3","0.2575758","1.000000","10.333333","0.0000000","0.00000000"," 44.66667"
"33","Thailand"," 3","0.3745791","1.333333","10.666667","0.0000000","0.66666667"," 76.66667"
"34","Canada Area"," 2","0.3068182","1.000000","13.000000","0.0000000","0.00000000"," 70.00000"
"35","Chile"," 2","0.3863636","1.500000","11.000000","3.0000000","0.00000000"," 87.00000"
"36","Finland"," 2","0.3068182","1.000000","12.000000","0.0000000","0.00000000"," 79.00000"
"37","Israel"," 2","0.6363636","2.500000","12.500000","5.5000000","2.00000000","130.00000"
"38","Korea"," 2","0.3068182","1.000000","12.000000","0.0000000","0.00000000","148.00000"
"39","Nigeria"," 2","0.3777778","1.500000","11.500000","0.0000000","1.50000000"," 75.50000"
"40","North Carolina Area"," 2","0.2808081","1.000000","11.000000","0.0000000","0.00000000"," 36.00000"
"41","Taiwan"," 2","0.2727273","1.000000","11.500000","0.0000000","0.00000000"," 55.50000"
